date,location,total
2020-11-02,Wielkopolskie,845
2020-11-02,Śląskie,1307
2020-11-02,Małopolskie,925
2020-11-02,Kujawsko-Pomorskie,478
2020-11-09,Mazowieckie,856794
2020-11-09,Podlaskie,337
2020-11-09,Lubelskie,668
2020-11-09,Świętokrzyskie,540
2020-11-09,Łódzkie,950
2020-11-09,Pomorskie,625
2020-11-09,Warmińsko-Mazurskie,364
2020-11-09,Podkarpackie,780
2020-11-09,Opolskie,345
2020-11-09,Dolnośląskie,925
2020-11-09,Lubuskie,328
2020-11-09,Zachodniopomorskie,445
2020-11-09,Wielkopolskie,958
2020-11-09,Śląskie,1578
2020-11-09,Małopolskie,1247
2020-11-09,Kujawsko-Pomorskie,610
2020-11-16,Mazowieckie,1008933
2020-11-16,Podlaskie,469
2020-11-16,Podkarpackie,928
2020-11-16,Lubelskie,817
2020-11-16,Świętokrzyskie,615
2020-11-16,Łódzkie,1121
2020-11-16,Pomorskie,660
2020-11-16,Warmińsko-Mazurskie,414
2020-11-16,Dolnośląskie,1094
2020-11-16,Opolskie,431
2020-11-16,Lubuskie,405
2020-11-16,Zachodniopomorskie,531
2020-11-16,Wielkopolskie,1218
2020-11-16,Śląskie,1815
2020-11-16,Małopolskie,1526
2020-11-16,Kujawsko-Pomorskie,688
2020-11-23,Mazowieckie,11901020
2020-11-23,Łódzkie,1224
2020-11-23,Świętokrzyskie,641
2020-11-23,Pomorskie,758
2020-11-23,Podkarpackie,1012
2020-11-23,Podlaskie,509
2020-11-23,Lubelskie,1038
2020-11-23,Warmińsko-Mazurskie,486
2020-11-23,Lubuskie,447
2020-11-23,Opolskie,454
2020-11-23,Dolnośląskie,1246
2020-11-23,Zachodniopomorskie,565
2020-11-23,Wielkopolskie,1260
2020-11-23,Śląskie,1965
2020-11-23,Małopolskie,1534
2020-11-23,Kujawsko-Pomorskie,699
2020-11-30,Mazowieckie,11261049
2020-11-30,Podlaskie,471
2020-11-30,Podkarpackie,917
2020-11-30,Lubelskie,1014
2020-11-30,Świętokrzyskie,586
2020-11-30,Łódzkie,1095
2020-11-30,Pomorskie,797
2020-11-30,Warmińsko-Mazurskie,494
2020-11-30,Opolskie,439
2020-11-30,Dolnośląskie,1217
2020-11-30,Lubuskie,427
2020-11-30,Zachodniopomorskie,578
2020-11-30,Wielkopolskie,1273
2020-11-30,Śląskie,1852
2020-11-30,Małopolskie,1422
2020-11-30,Kujawsko-Pomorskie,700
2020-12-07,Pomorskie,757
2020-12-07,Mazowieckie,1139998
2020-12-07,Podlaskie,482
2020-12-07,Podkarpackie,759
2020-12-07,Lubelskie,891
2020-12-07,Świętokrzyskie,555
2020-12-07,Łódzkie,1092
2020-12-07,Warmińsko-Mazurskie,508
2020-12-07,Małopolskie,1185
2020-12-07,Opolskie,447
2020-12-07,Dolnośląskie,1160
2020-12-07,Lubuskie,414
2020-12-07,Zachodniopomorskie,553
2020-12-07,Wielkopolskie,1239
2020-12-07,Śląskie,1710
2020-12-07,Kujawsko-Pomorskie,754
2020-12-14,Pomorskie,727
2020-12-14,Podlaskie,440
2020-12-14,Podkarpackie,687
2020-12-14,Lubelskie,816
2020-12-14,Świętokrzyskie,456
2020-12-14,Mazowieckie,1052926
2020-12-14,Łódzkie,1021
2020-12-14,Warmińsko-Mazurskie,482
2020-12-14,Lubuskie,374
2020-12-14,Opolskie,383
2020-12-14,Dolnośląskie,1079
2020-12-14,Zachodniopomorskie,585
2020-12-14,Wielkopolskie,1141
2020-12-14,Śląskie,1502
2020-12-14,Małopolskie,1022
2020-12-14,Kujawsko-Pomorskie,726
2020-12-21,Mazowieckie,928794
2020-12-21,Podlaskie,397
2020-12-21,Podkarpackie,605
2020-12-21,Świętokrzyskie,434
2020-12-21,Łódzkie,900
2020-12-21,Pomorskie,646
2020-12-21,Warmińsko-Mazurskie,484
2020-12-21,Lubelskie,727
2020-12-21,Opolskie,342
2020-12-21,Dolnośląskie,984
2020-12-21,Lubuskie,317
2020-12-21,Zachodniopomorskie,553
2020-12-21,Wielkopolskie,1117
2020-12-21,Śląskie,1425
2020-12-21,Małopolskie,832
2020-12-21,Kujawsko-Pomorskie,697
2020-12-28,Podkarpackie,540
2020-12-28,Lubelskie,672
2020-12-28,Świętokrzyskie,399
2020-12-28,Łódzkie,802
2020-12-28,Pomorskie,602
2020-12-28,Warmińsko-Mazurskie,420
2020-12-28,Kujawsko-Pomorskie,633
2020-12-28,Zachodniopomorskie,489
2020-12-28,Dolnośląskie,816
2020-12-28,Lubuskie,299
2020-12-28,Wielkopolskie,995
2020-12-28,Śląskie,1236
2020-12-28,Małopolskie,741
2020-12-28,Podlaskie,308
2020-12-28,Opolskie,270
2020-12-28,Mazowieckie,826680
