date,year,total,age,short,location,typ,country
2019-01-14,2019,294.0,TOTAL,PL72,świętokrzyskie,W,
2019-01-14,2019,660.0,TOTAL,PL71,łódzkie,W,
2019-01-14,2019,471.0,TOTAL,PL63,pomorskie,W,
2019-01-14,2019,325.0,TOTAL,PL62,warmińsko-mazurskie,W,
2019-01-14,2019,469.0,TOTAL,PL61,kujawsko-pomorskie,W,
2019-01-14,2019,1710.0,TOTAL,AT,Austria,C,Austria
2019-01-14,2019,685.0,TOTAL,PL51,dolnośląskie,W,
2019-01-14,2019,184.0,TOTAL,PL43,lubuskie,W,
2019-01-14,2019,332.0,TOTAL,PL42,zachodniopomorskie,W,
2019-01-14,2019,721.0,TOTAL,PL41,wielkopolskie,W,
2019-01-14,2019,1109.0,TOTAL,PL22,śląskie,W,
2019-01-14,2019,740.0,TOTAL,PL21,małopolskie,W,
2019-01-14,2019,563.0,TOTAL,AL,Albania,C,Albania
2019-01-14,2019,238.0,TOTAL,PL52,opolskie,W,
2019-01-14,2019,1.0,Y_LT20,PL43,lubuskie,W,
2019-01-14,2019,2.0,Y_LT20,PL84,podlaskie,W,
2019-01-14,2019,7.0,Y20-39,PL62,warmińsko-mazurskie,W,
2019-01-14,2019,10.0,Y20-39,PL63,pomorskie,W,
2019-01-14,2019,16.0,Y20-39,PL71,łódzkie,W,
2019-01-14,2019,4.0,Y20-39,PL72,świętokrzyskie,W,
2019-01-14,2019,9.0,Y20-39,PL81,lubelskie,W,
2019-01-14,2019,8.0,Y20-39,PL82,podkarpackie,W,
2019-01-14,2019,6.0,Y20-39,PL84,podlaskie,W,
2019-01-14,2019,22.0,Y20-39,PL9,mazowieckie,W,
2019-01-14,2019,75.0,Y40-59,PL21,małopolskie,W,
2019-01-14,2019,6.0,Y20-39,PL61,kujawsko-pomorskie,W,
2019-01-14,2019,147.0,Y40-59,PL22,śląskie,W,
2019-01-14,2019,38.0,Y40-59,PL42,zachodniopomorskie,W,
2019-01-14,2019,20.0,Y40-59,PL43,lubuskie,W,
2019-01-14,2019,75.0,Y40-59,PL51,dolnośląskie,W,
2019-01-14,2019,26.0,Y40-59,PL52,opolskie,W,
2019-01-14,2019,52.0,Y40-59,PL61,kujawsko-pomorskie,W,
2019-01-14,2019,36.0,Y40-59,PL62,warmińsko-mazurskie,W,
2019-01-14,2019,47.0,Y40-59,PL63,pomorskie,W,
