location,geo_type,transportation_type,country,date,mobility
Dolnośląskie,sub-region,driving,Polska,2020-07-08,138.93
Dolnośląskie,sub-region,walking,Polska,2020-07-08,132.78
Dolnośląskie,sub-region,driving,Polska,2020-07-09,150.06
Dolnośląskie,sub-region,walking,Polska,2020-07-09,151.06
Dolnośląskie,sub-region,driving,Polska,2020-07-10,179.09
Dolnośląskie,sub-region,walking,Polska,2020-07-10,161.86
Dolnośląskie,sub-region,driving,Polska,2020-07-11,158.88
Dolnośląskie,sub-region,walking,Polska,2020-07-11,161.14
Dolnośląskie,sub-region,driving,Polska,2020-07-12,170.71
Dolnośląskie,sub-region,walking,Polska,2020-07-12,142.11
Dolnośląskie,sub-region,driving,Polska,2020-07-13,147.12
Dolnośląskie,sub-region,walking,Polska,2020-07-13,155.21
Dolnośląskie,sub-region,driving,Polska,2020-07-14,149.93
Dolnośląskie,sub-region,walking,Polska,2020-07-14,166.22
Dolnośląskie,sub-region,driving,Polska,2020-07-15,153.55
Dolnośląskie,sub-region,walking,Polska,2020-07-15,159.07
Dolnośląskie,sub-region,driving,Polska,2020-07-16,160.24
Dolnośląskie,sub-region,walking,Polska,2020-07-16,148.13
Dolnośląskie,sub-region,driving,Polska,2020-07-17,190.29
Dolnośląskie,sub-region,walking,Polska,2020-07-17,188.44
Dolnośląskie,sub-region,driving,Polska,2020-07-18,177.83
Dolnośląskie,sub-region,walking,Polska,2020-07-18,199.61
Dolnośląskie,sub-region,driving,Polska,2020-07-19,181.87
Dolnośląskie,sub-region,walking,Polska,2020-07-19,153.35
Dolnośląskie,sub-region,driving,Polska,2020-07-20,158.77
Dolnośląskie,sub-region,walking,Polska,2020-07-20,146.83
Dolnośląskie,sub-region,driving,Polska,2020-07-21,158.13
Dolnośląskie,sub-region,walking,Polska,2020-07-21,168.2
Dolnośląskie,sub-region,driving,Polska,2020-07-22,163.02
Dolnośląskie,sub-region,walking,Polska,2020-07-22,182.29
Dolnośląskie,sub-region,driving,Polska,2020-07-23,164.85
Dolnośląskie,sub-region,walking,Polska,2020-07-23,177.21
Dolnośląskie,sub-region,driving,Polska,2020-07-24,203.25
Dolnośląskie,sub-region,walking,Polska,2020-07-24,190.06
Dolnośląskie,sub-region,driving,Polska,2020-07-25,188.37
Dolnośląskie,sub-region,walking,Polska,2020-07-25,198.66
Dolnośląskie,sub-region,driving,Polska,2020-07-26,184.22
Dolnośląskie,sub-region,walking,Polska,2020-07-26,155.37
Dolnośląskie,sub-region,driving,Polska,2020-07-27,166.28
Dolnośląskie,sub-region,walking,Polska,2020-07-27,171.87
Dolnośląskie,sub-region,driving,Polska,2020-07-28,159.39
Dolnośląskie,sub-region,walking,Polska,2020-07-28,178.96
Dolnośląskie,sub-region,driving,Polska,2020-07-29,171.63
Dolnośląskie,sub-region,walking,Polska,2020-07-29,177.78
Dolnośląskie,sub-region,driving,Polska,2020-07-30,177.39
Dolnośląskie,sub-region,walking,Polska,2020-07-30,182.84
Dolnośląskie,sub-region,driving,Polska,2020-07-31,209.57
Dolnośląskie,sub-region,walking,Polska,2020-07-31,206.65
Dolnośląskie,sub-region,driving,Polska,2020-08-01,205.82
Dolnośląskie,sub-region,walking,Polska,2020-08-01,193.14
Dolnośląskie,sub-region,driving,Polska,2020-08-02,185.05
Dolnośląskie,sub-region,walking,Polska,2020-08-02,163.11
Dolnośląskie,sub-region,driving,Polska,2020-08-03,177.0
Dolnośląskie,sub-region,walking,Polska,2020-08-03,140.84
Dolnośląskie,sub-region,driving,Polska,2020-08-04,160.77
Dolnośląskie,sub-region,walking,Polska,2020-08-04,157.96
Dolnośląskie,sub-region,driving,Polska,2020-08-05,176.93
Dolnośląskie,sub-region,walking,Polska,2020-08-05,204.06
Dolnośląskie,sub-region,driving,Polska,2020-08-06,182.85
Dolnośląskie,sub-region,walking,Polska,2020-08-06,200.91
Dolnośląskie,sub-region,driving,Polska,2020-08-07,204.67
Dolnośląskie,sub-region,walking,Polska,2020-08-07,205.33
Dolnośląskie,sub-region,driving,Polska,2020-08-08,200.06
Dolnośląskie,sub-region,walking,Polska,2020-08-08,200.77
Dolnośląskie,sub-region,driving,Polska,2020-08-09,192.73
Dolnośląskie,sub-region,walking,Polska,2020-08-09,150.72
Dolnośląskie,sub-region,driving,Polska,2020-08-10,175.2
Dolnośląskie,sub-region,walking,Polska,2020-08-10,171.9
Dolnośląskie,sub-region,driving,Polska,2020-08-11,160.32
Dolnośląskie,sub-region,walking,Polska,2020-08-11,184.84
Dolnośląskie,sub-region,driving,Polska,2020-08-12,166.96
Dolnośląskie,sub-region,walking,Polska,2020-08-12,183.72
Dolnośląskie,sub-region,driving,Polska,2020-08-13,173.0
Dolnośląskie,sub-region,walking,Polska,2020-08-13,194.05
Dolnośląskie,sub-region,driving,Polska,2020-08-14,192.6
Dolnośląskie,sub-region,walking,Polska,2020-08-14,205.15
Dolnośląskie,sub-region,driving,Polska,2020-08-15,173.78
Dolnośląskie,sub-region,walking,Polska,2020-08-15,195.91
Dolnośląskie,sub-region,driving,Polska,2020-08-16,196.74
