JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_3020042,pleszewski,284,46,363,596,364,4591,996,"21,7",1653,Gizałki,wielkopolskie,<20k
JPT_2806011,giżycki,3132,457,2728,4218,2970,28964,10884,"37,6",13505,Giżycko,warmińsko-mazurskie,20k-50k
JPT_1402033,ciechanowski,578,79,562,997,661,7764,1981,"25,5",2877,Glinojeck,mazowieckie,<20k
JPT_2466000,Gliwice,20199,3788,20171,27561,18134,177049,73062,"41,3",89853,Gliwice,śląskie,>100k
JPT_2214023,tczewski,1146,219,1308,2027,1386,15286,4401,"28,8",6087,Gniew,pomorskie,<20k
JPT_2215052,wejherowski,347,105,564,827,559,7456,1721,"23,1",2402,Gniewino,pomorskie,<20k
JPT_0407033,inowrocławski,1286,241,1249,1979,1316,14315,5028,"35,1",6071,Gniewkowo,kujawsko-pomorskie,<20k
JPT_1407032,kozienicki,335,27,263,388,350,3842,1011,"26,3",1363,Gniewoszów,mazowieckie,<20k
JPT_3003011,gnieźnieński,7210,1447,7208,10787,6921,67570,24379,"36,1",33573,Gniezno,wielkopolskie,50k-100k
JPT_1202052,brzeski (małopolskie),446,66,497,744,403,8020,1566,"19,5",2156,Gnojnik,małopolskie,<20k
JPT_2601022,buski,426,25,319,512,335,4344,1253,"28,8",1617,Gnojno,świętokrzyskie,<20k
JPT_2410012,pszczyński,570,165,717,1104,570,6735,2351,"34,9",3126,Goczałkowice-Zdrój,śląskie,<20k
