bin,date,type,count
7,2020-04-20,I,2
6,2020-04-20,I,1
7,2020-04-21,I,4
7,2020-04-22,I,5
4,2020-04-22,I,1
7,2020-04-23,I,2
7,2020-04-24,I,2
7,2020-04-25,I,2
6,2020-04-25,I,1
5,2020-04-26,I,1
7,2020-04-26,I,1
5,2020-04-27,I,1
7,2020-04-27,I,1
6,2020-04-28,I,1
7,2020-04-28,I,1
7,2020-04-29,I,1
7,2020-05-01,I,2
7,2020-05-04,I,2
6,2020-05-05,I,1
7,2020-05-06,I,1
6,2020-05-07,I,1
7,2020-05-07,I,1
7,2020-05-08,I,1
7,2020-05-09,I,1
7,2020-05-10,I,2
6,2020-05-11,I,1
7,2020-05-11,I,1
6,2020-05-13,I,1
7,2020-05-14,I,2
5,2020-05-15,I,1
7,2020-05-15,I,1
7,2020-05-17,I,2
5,2020-05-17,I,1
6,2020-05-18,I,1
6,2020-05-19,I,1
5,2020-05-20,I,1
7,2020-05-20,I,1
7,2020-05-21,I,1
5,2020-05-23,I,1
6,2020-05-24,I,1
7,2020-05-25,I,1
7,2020-05-27,I,2
5,2020-05-29,I,1
4,2020-05-31,I,1
7,2020-05-31,I,1
7,2020-06-03,I,1
6,2020-06-04,I,2
7,2020-06-05,I,3
7,2020-06-06,I,1
7,2020-06-07,I,2
7,2020-06-08,I,1
3,2020-06-09,I,1
6,2020-06-10,I,1
7,2020-06-11,I,1
5,2020-06-12,I,2
7,2020-06-13,I,2
7,2020-06-14,I,1
7,2020-06-15,I,2
7,2020-06-16,I,3
6,2020-06-16,I,1
7,2020-06-17,I,1
5,2020-06-18,I,1
7,2020-06-18,I,1
4,2020-06-20,I,1
7,2020-06-20,I,1
7,2020-06-22,I,2
5,2020-06-24,I,1
7,2020-06-25,I,2
7,2020-06-26,I,2
7,2020-06-27,I,1
7,2020-06-29,I,1
7,2020-06-30,I,1
7,2020-07-01,I,1
7,2020-07-02,I,1
7,2020-07-05,I,3
4,2020-07-06,I,1
7,2020-07-06,I,1
7,2020-07-07,I,1
7,2020-07-08,I,1
7,2020-07-09,I,1
7,2020-07-10,I,1
7,2020-07-11,I,1
7,2020-07-12,I,3
6,2020-07-12,I,1
4,2020-07-13,I,1
3,2020-07-15,I,1
7,2020-07-15,I,1
5,2020-07-16,I,1
7,2020-07-16,I,1
7,2020-07-17,I,3
7,2020-07-18,I,2
5,2020-07-19,I,1
7,2020-07-19,I,1
6,2020-07-21,I,1
6,2020-07-24,I,1
7,2020-07-24,I,1
7,2020-07-25,I,2
7,2020-07-26,I,3
4,2020-07-28,I,1
7,2020-07-28,I,1
7,2020-07-29,I,2
4,2020-07-30,I,1
7,2020-07-31,I,2
7,2020-08-01,I,4
7,2020-08-02,I,5
5,2020-08-02,I,1
6,2020-08-02,I,1
7,2020-08-03,I,3
6,2020-08-03,I,1
7,2020-08-05,I,3
5,2020-08-05,I,1
7,2020-08-06,I,1
7,2020-08-07,I,1
7,2020-08-08,I,2
7,2020-08-09,I,1
6,2020-08-10,I,1
7,2020-08-10,I,1
5,2020-08-11,I,1
6,2020-08-11,I,1
3,2020-08-12,I,1
5,2020-08-12,I,1
7,2020-08-12,I,1
5,2020-08-13,I,1
7,2020-08-14,I,4
2,2020-08-14,I,1
5,2020-08-15,I,2
