Type,Day cases,Report Date,School Name,Address 1,County,Local Authority,Eircode,Region,Roll Number,Lat,Long
Secondary,1,8.03.2021,Arklow C.B.S.,Arklow,Wicklow,Wicklow County Council,Y14RV04,Leinster,61770U,-6.1540035,52.798221
Primary,1,7.03.2021,Scoil An Leinbh Iosa Boys Seniors,"Whitehall, D9",Dublin,Dublin City Council,D09K104,Dublin,17318C,-6.2431944,53.382668
Primary,1,7.03.2021,St Thomas Junior National School,Lucan,Dublin,South Dublin County Council,K78PF57,Dublin,19542R,-6.4501534,53.3567157
Primary,1,7.03.2021,Two Mile House NS,Naas,Kildare,Kildare County Council,W91YY75,Leinster,17968S,-6.6574093,53.2214677
Pre-school,1,7.03.2021,Step by Step Montessori and Afterschool* (not a school),Killoe,Longford,Longford County Council,,Leinster,Creche3,-7.729237165768248,53.82048295
Secondary,1,7.03.2021,Ballinrobe Comm. School,Ballinrobe,Mayo,Mayo County Council,F31XD53,Connacht,91462E,-9.2207207,53.6227775
Primary,1,7.03.2021,Scoil Bhríde,Clonee,Meath,Meath County Council,D15XA32,Leinster,16825O,-6.4404037,53.4104332
Primary,1,7.03.2021,Two Mile Borris NS,THURLES,Tipperary,Tipperary (Nr) County Council,E41T868,Munster,16211C,-7.8151008,52.6801547
Primary,1,6.03.2021,Scoil Maelruain Junior,"Tallaght, D24",Dublin,South Dublin County Council,D24T854,Dublin,19462T,-6.3746438,53.2874685
Primary,1,6.03.2021,Presentation Primary School,Portarlington,Laois,Laois County Council,R32HF43,Leinster,15556I,-7.191111,53.162222
Primary,1,6.03.2021,St Oliver Plunketts NS,Clonmel,Tipperary,Tipperary (Sr) County Council,E91NW22,Munster,19645E,-7.703889,52.355
Primary,1,6.03.2021,St Michael's And St Peter's Junior School,Arklow,Wicklow,Wicklow County Council,Y14R239,Leinster,20470C,-6.1540035,52.798221
Primary,1,5.03.2021,Scoil Maria Assumpta,Cork,Cork,Cork City Council,T12HY44,Munster,20389T,-8.4705942,51.898627
Primary,1,5.03.2021,St Vincent's GNS,Dublin 1,Dublin,Dublin City Council,D01XT04,Dublin,15056L,-6.2602732,53.3497645
Secondary,1,5.03.2021,Árdscoil Rís,"Marino, D9",Dublin,Dublin City Council,D09AK30,Dublin,60420L,-6.2347491,53.3663095
Primary,1,5.03.2021,St Joseph's For Blind NS,"Drumcondra, D9",Dublin,Dublin City Council,D09C803,Dublin,18417J,-6.259665718431606,53.36334425
Primary,1,5.03.2021,Glasnevin Educate Together NS,"Glasnevin, D11",Dublin,Dublin City Council,D11A2YT,Dublin,20168D,-6.2662007,53.3782873
Primary,1,5.03.2021,Gaelscoil Ui Earcain,"Finglas, D11",Dublin,Dublin City Council,D11VP44,Dublin,20220C,-6.2992966,53.3902233
Primary,1,5.03.2021,Our Lady of Good Counsel Girls School,"Drimnagh, D12",Dublin,Dublin City Council,D12XD51,Dublin,17355I,-6.3180819,53.3353824
Secondary,1,5.03.2021,St Tiernan's Community School,"Balally, D16",Dublin,Dun Laoghaire Rathdown,D16KW26,Dublin,91343T,-6.2366886,53.2860688
Primary,1,5.03.2021,Sacred Heart of Jesus NS,"Mulhuddart, D15",Dublin,Fingal County Council,D15KF65,Dublin,19755L,-6.4134298,53.4060962
Secondary,1,5.03.2021,Presentation College,Tuam,Galway,Galway County Council,H54V260,Connacht,63170G,-8.8512875,53.5147915
Pre-school,1,5.03.2021,Aladdin's Cave Creche* (not a school),Ardee,Louth,Louth County Council,A92WN26,Leinster,Creche2,-6.540556,53.859722
Secondary,1,5.03.2021,Borrisokane Community College,Borrisokane,Tipperary,Tipperary (NR) County Council,E45WC59,Munster,72370P,-8.1329107015534,52.99975125
Primary,2,5.03.2021,St Michael's And St Peter's Junior School,Arklow,Wicklow,Wicklow County Council,Y14R239,Leinster,20470C,-6.1540035,52.798221
Primary,1,4.03.2021,Naiscoil Ide,"Raheny, D5",Dublin,Dublin City Council,D05E932,Dublin,17978V,-6.161141164682835,53.38507445921227
Primary,1,4.03.2021,St Canice's GNS,"Finglas, D11",Dublin,Dublin City Council,D11C927,Dublin,18683H,-6.2992966,53.3902233
Primary,1,4.03.2021,Holywell Educate Together National School,Swords,Dublin,Fingal County Council,K67AP99,Dublin,20348F,-6.2184562,53.4598264
Secondary,1,4.03.2021,Coláiste Íosagáin,Portarlington,Laois,Laois County Council,R32HV25,Leinster,68068R,-7.191111,53.162222
Primary,1,4.03.2021,St Mary's NS,Edgeworthstown,Longford,Longford County Council,N39PX32,Leinster,20124G,-7.6097215,53.6966661
Primary,2,4.03.2021,Carlanstown NS,Kells,Meath,Meath County Council,A82AH22,Leinster,18132Q,-6.8761704,53.7274118
Secondary,1,3.03.2021,St Mary's Secondary School,Mallow,Cork,Cork County Council,P51PY04,Munster,62350D,-8.6462922,52.1374642
Secondary,1,3.03.2021,St Louis High School,"Rathmines, D6",Dublin,Dublin City Council,D06F860,Dublin,60890C,-6.2676273,53.3206853
Pre-school,1,3.03.2021,Aladdin's Cave Creche* (not a school),Ardee,Louth,Louth County Council,A92WN26,Leinster,Creche2,-6.540556,53.859722
Primary,1,2.03.2021,St Anne's Special School,Ennis,Clare,Clare County Council,V95YY26,Munster,19414I,-8.983747,52.8435152
Secondary,1,2.03.2021,Coachford College,Coachford,Cork,Cork County Council,P12DY92,Munster,70960D,-8.7881095,51.9093226
Primary,1,2.03.2021,Our Lady Of Consolation NS,"Donnycarney, D5",Dublin,Dublin City Council,D05RW80,Dublin,20064O,-6.2197423,53.3746929
Primary,1,2.03.2021,Scoil Íosa,"Tallaght, D24",Dublin,South Dublin County Council,D24ND34,Dublin,19577N,-6.3746438,53.2874685
Pre-school,1,2.03.2021,Little Explorers Crèche* (not a school),Clonee,Meath,Meath County Council,D15VFT9,Leinster,Creche1,-6.4404037,53.4104332
Primary,1,1.03.2021,Holy Family School For The Deaf,"Cabra, D7",Dublin,Dublin City Council,D07TH79,Dublin,20495S,-6.2817747,53.3641011
Primary,1,1.03.2021,Limerick East Educate Together,Mungret,Limerick,Limerick County Council,V94ND77,Munster,20175A,-8.6923876,52.6358249
Primary,1,28.02.2021,St Mary's NS,Saggart,Dublin,South Dublin County Council,D24VW9P,Dublin,17055T,-6.4442861605439035,53.258774849999995
Secondary,1,28.02.2021,Borrisokane Community College,Borrisokane,Tipperary,Tipperary (NR) County Council,E45WC59,Munster,72370P,-8.1329107015534,52.99975125
Primary,2,27.02.2021,St Peter's Special Sch,"Rathgar, D6",Dublin,Dublin City Council,D06X594,Dublin,18904U,-6.2676273,53.3206853
Primary,2,27.02.2021,St Michael's Hse Spec Sc,Dublin 9,Dublin,Dublin City Council,D09R297,Dublin,18763F,-6.2602732,53.3497645
Primary,1,27.02.2021,Scoil Eoin,"Crumlin, D12",Dublin,Dublin City Council,D12PX38,Dublin,19382V,-6.3161673,53.3202316
Primary,1,27.02.2021,St Augustine's Spec Sch,Blackrock,Dublin,Dun Laoghaire Rathdown,A94X8K7,Dublin,18499O,-6.1788342,53.3018639
Primary,1,27.02.2021,Red Hill School,Patrickswell,Limerick,Limerick City Council,V94Y7W6,Munster,20311F,-8.708889,52.597222
Primary,1,27.02.2021,St Matthew's Mixed NS,Ballymahon,Longford,Longford County Council,N39KA06,Leinster,20128O,-7.7617266,53.5617282
