,,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna
date,,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
suski,małopolskie,"0,0","0,0","0,0","0,02","0,73","2,32","1,43","0,36","0,19","0,78","1,43","2,28","9,98","9,3","2,62","1,46","0,0","0,0","1,48","1,53","2,11","1,16","1,41","1,24","0,97","1,7","3,2","3,95","7,19","6,74","21,47","43,08","62,1","73,9","77,89","65,81","42,59","41,8","24,01","23,69","11,9","8,82","6,47","6,61","10,18","11,87","6,18","7,7","9,96","10,49","11,51","13,98","22,68","32,52","39,03","55,12","55,82","56,21","34,16"
suwalski,podlaskie,"0,0","0,0","0,0","0,29","0,34","0,17","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,51","1,09","0,0","0,0","0,0","0,0","0,0","0,4","1,09","0,11","0,34","0,46","0,69","3,03","5,04","5,43","12,36","17,73","27,92","51,6","50,69","33,3","24,03","20,82","12,59","11,38","15,68","13,48","13,56","10,81","9,84","7,04","9,67","8,07","7,44","7,78","10,3","13,45","15,51","19,79","23,0","29,58","20,9"
szamotulski,wielkopolskie,"0,0","0,0","0,0","0,02","0,14","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,02","0,14","0,0","0,0","0,0","0,0","0,11","0,05","0,0","0,6","1,2","0,53","0,29","1,05","2,69","1,47","2,58","11,18","15,38","36,89","82,02","61,76","60,16","65,45","43,86","37,29","44,44","38,7","30,7","27,43","25,05","22,69","17,97","11,8","10,15","9,0","8,82","13,82","26,67","53,28","94,15","129,33","93,4","82,42","55,3"
szczecinecki,zachodniopomorskie,"0,0","0,0","0,0","0,1","0,21","0,05","0,0","0,0","0,0","0,42","0,34","-0,21","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,08","0,1","0,05","1,1","1,34","0,92","0,42","1,32","1,21","4,94","10,31","14,09","18,95","25,32","37,57","45,48","68,93","69,19","52,39","35,54","38,01","33,99","31,02","28,65","35,17","23,29","16,43","13,75","16,33","20,29","22,58","34,31","48,08","52,42","55,39","53,84","41,09","37,46","25,62"
szczycieński,warmińsko-mazurskie,"0,0","0,06","0,15","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03","0,18","0,47","0,59","3,09","3,7","1,59","1,06","1,0","0,97","1,89","2,06","4,88","14,0","18,77","26,47","29,15","41,42","58,22","48,07","42,8","39,42","35,77","36,15","39,88","47,21","33,71","26,03","27,59","33,56","42,33","52,1","70,6","77,75","78,57","72,25","56,98","42,1","46,92","36,2"
sztumski,pomorskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,4","0,89","0,94","0,25","0,3","0,0","0,0","0,0","0,05","0,84","0,94","0,25","0,39","3,85","5,24","2,86","0,94","0,54","0,0","0,05","1,43","3,8","4,2","16,7","29,1","42,99","60,03","47,19","51,19","48,72","42,94","43,33","35,73","38,49","49,0","39,78","39,68","32,66","28,81","22,88","23,52","22,04","25,94","21,59","43,83","46,45","54,06","30,53","38,74","29,75"
szydłowiecki,mazowieckie,"0,0","0,0","1,08","2,98","3,7","2,93","2,73","0,98","0,31","0,1","0,72","0,31","0,82","2,26","1,85","1,34","2,01","1,34","0,1","0,0","0,15","0,31","2,06","2,57","0,67","0,0","0,0","0,36","1,13","6,38","13,32","11,26","13,22","30,09","42,03","44,24","31,12","14,25","11,42","6,74","9,36","6,58","3,29","4,98","5,97","5,86","4,22","6,07","5,5","5,25","9,31","9,15","10,65","17,8","28,6","39,51","31,12","37,14","27,73"
sępoleński,kujawsko-pomorskie,"0,0","0,0","0,0","0,2","0,15","0,0","0,05","0,1","-0,1","-0,05","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,89","0,5","0,0","0,0","0,55","2,98","2,54","2,39","0,85","0,1","0,05","2,19","9,2","8,15","17,6","36,53","60,05","62,63","59,45","74,41","49,01","29,03","51,55","42,65","41,75","44,31","31,91","31,96","30,32","28,18","18,09","12,58","9,59","9,35","17,0","22,17","26,99","31,71","21,72","34,0","35,28"
sławieński,zachodniopomorskie,"0,0","0,0","0,0","0,21","0,04","0,04","0,25","0,22","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,09","2,51","0,98","1,09","2,04","2,04","0,76","1,64","0,94","0,18","0,65","4,04","7,16","12,69","17,96","36,61","40,36","61,55","56,17","50,39","36,32","28,36","32,68","34,98","30,03","36,43","26,9","24,76","16,07","17,71","13,52","11,53","15,78","19,27","24,1","33,88","45,26","60,53","52,61","47,48","33,65"
słubicki,lubuskie,"0,0","0,0","0,17","0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,26","0,35","0,43","0,43","0,04","0,26","0,3","0,69","5,3","7,57","1,22","0,61","1,61","0,39","0,17","0,35","1,48","3,13","5,39","12,57","25,4","29,35","40,66","51,62","53,84","48,92","45,14","48,84","47,01","37,23","33,99","23,96","15,05","11,14","6,74","8,87","9,96","13,96","20,13","32,7","48,31","68,45","74,71","53,36","39,88","26,79"
słupecki,wielkopolskie,"0,0","0,0","0,0","0,0","0,0","0,14","0,21","0,14","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,14","0,1","0,0","0,1","0,21","0,17","0,31","1,18","4,46","4,56","6,84","13,75","22,8","44,08","47,29","62,56","59,8","63,87","63,29","66,43","49,78","47,98","39,31","28,33","25,18","16,86","15,48","11,95","6,53","7,29","7,77","15,17","21,59","31,05","43,32","55,96","44,63","42,01","33,95"
słupski,pomorskie,"0,0","0,0","0,0","0,02","0,27","0,14","0,0","0,0","0,0","0,0","0,02","0,12","0,08","0,21","0,0","0,0","0,14","0,43","0,54","1,67","1,57","0,87","0,6","0,5","0,31","0,62","0,5","0,78","2,79","11,19","10,67","10,36","16,71","28,99","39,75","35,86","47,75","59,56","44,96","46,61","46,49","37,29","28,31","36,86","40,86","33,73","29,45","22,42","18,47","17,97","22,07","24,49","28,17","38,05","45,39","46,65","32,74","33,07","27,27"
tarnobrzeski,podkarpackie,"0,0","0,12","1,62","3,32","-1,93","0,89","2,54","4,78","3,39","0,46","0,19","0,0","0,0","0,0","0,0","0,0","0,08","0,42","0,35","0,35","0,27","0,15","0,54","0,35","0,73","0,27","0,04","0,58","-0,08","0,89","6,36","9,83","14,99","29,01","47,43","40,96","39,46","37,72","28,55","12,56","12,41","13,26","10,37","18,21","17,49","11,48","10,67","9,83","10,4","12,14","9,83","14,8","27,97","48,94","69,89","65,43","39,96","38,34","23,57"
tarnogórski,śląskie,"0,0","0,1","0,33","1,52","1,83","2,87","2,66","2,69","4,07","2,99","9,8","5,4","4,44","1,66","1,15","1,26","0,71","0,9","0,83","0,77","1,54","1,99","1,12","1,47","1,99","1,73","0,45","0,35","0,96","0,97","2,63","11,53","21,02","19,04","16,5","98,22","81,08","53,55","30,69","23,4","24,11","21,15","18,59","16,91","13,88","10,19","6,04","8,54","10,7","11,75","13,29","20,35","27,96","46,8","74,98","102,84","84,96","71,82","49,65"
tarnowski,małopolskie,"0,0","0,03","0,09","0,2","0,12","0,04","0,13","0,27","0,03","0,07","0,0","0,0","0,27","3,71","2,04","0,64","0,33","0,16","0,13","0,26","2,18","1,5","1,71","2,37","2,31","1,27","0,66","0,26","0,55","1,87","3,49","7,94","17,08","27,23","41,36","66,11","37,27","19,15","16,35","10,91","7,84","6,33","4,09","5,7","7,0","4,85","4,7","6,96","6,68","7,39","11,46","18,09","24,95","30,79","39,58","51,18","42,41","38,53","27,95"
tatrzański,małopolskie,"0,0","0,0","0,0","0,0","0,39","0,03","0,0","0,0","0,0","0,0","0,0","0,0","0,18","0,45","0,09","0,12","0,15","1,08","7,08","4,89","11,54","4,98","7,55","7,38","6,54","4,47","4,53","7,41","10,43","19,46","22,37","35,65","41,79","63,11","57,83","46,32","16,7","10,7","12,71","9,95","3,84","3,09","5,82","10,98","7,98","5,61","5,01","6,12","7,56","7,64","8,3","9,35","15,05","18,56","24,55","29,17","22,31","25,69","21,62"
tczewski,pomorskie,"0,0","0,07","0,18","0,05","0,2","0,02","0,37","0,49","0,48","0,85","0,33","0,05","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,19","0,85","0,72","0,93","2,04","3,12","2,52","1,13","1,06","1,74","5,15","9,54","11,73","17,79","40,03","69,37","80,5","69,43","71,49","53,19","43,72","36,36","32,78","27,97","33,45","30,77","23,6","21,16","19,71","19,45","18,98","23,96","35,57","44,3","57,31","69,48","68,62","54,03","46,22","32,91"
tomaszowski (lubelskie),lubelskie,"0,03","0,15","0,12","-0,07","-0,05","0,0","0,02","0,15","0,17","0,94","0,12","0,52","0,32","0,0","0,0","0,3","1,04","0,71","0,12","0,07","0,05","0,35","0,17","-0,05","0,82","3,58","0,89","3,7","9,3","2,41","1,9","3,55","8,7","33,09","51,19","45,64","33,36","29,86","17,88","17,36","15,44","13,34","10,9","15,97","18,27","14,75","16,59","17,14","15,14","15,36","16,79","15,39","12,16","18,54","30,41","28,63","27,67","32,72","24,99"
tomaszowski (łódzkie),łódzkie,"0,0","0,11","0,35","0,21","0,2","0,23","0,86","0,65","0,44","0,12","0,25","1,98","5,71","8,32","4,54","3,31","1,7","2,36","2,82","2,36","1,16","0,81","1,12","0,35","0,52","0,47","0,32","0,96","1,17","2,36","5,47","16,57","25,15","35,19","47,29","51,07","57,73","30,62","24,05","26,17","20,63","15,43","14,87","15,26","15,45","9,77","8,15","9,19","11,04","12,85","16,04","17,53","23,21","30,11","40,95","42,65","35,47","34,52","23,66"
toruński,kujawsko-pomorskie,"0,0","0,06","0,07","0,11","1,34","0,64","0,62","0,45","0,0","0,11","0,2","0,17","0,09","0,26","1,2","0,4","0,07","0,24","0,11","0,41","1,56","0,73","1,19","1,04","1,98","1,24","1,21","3,32","2,47","5,35","8,08","10,62","29,82","58,13","80,47","63,61","56,28","56,7","54,19","51,76","55,87","56,09","47,58","48,9","40,39","24,3","24,67","27,73","21,92","25,79","29,38","36,37","42,19","50,58","63,7","69,07","51,67","47,99","31,96"
trzebnicki,dolnośląskie,"0,0","0,05","1,05","0,74","1,29","1,84","1,84","1,25","0,5","0,34","0,86","0,31","-0,02","0,29","0,38","0,0","0,0","0,15","0,29","0,86","2,3","2,18","1,05","0,46","1,68","0,77","1,7","7,42","10,75","2,92","3,76","6,78","12,59","19,15","33,39","45,87","58,94","44,45","32,29","18,7","21,09","17,6","12,83","16,03","15,27","12,47","13,6","13,6","11,39","12,33","18,91","25,57","37,82","48,02","61,78","79,04","68,8","62,43","41,22"
tucholski,kujawsko-pomorskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,09","0,21","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,34","0,59","1,65","4,01","1,06","1,73","5,02","13,5","24,0","36,78","61,71","75,72","43,53","45,22","44,42","48,38","43,95","38,97","30,03","31,5","28,73","26,79","22,1","18,05","11,05","14,89","23,24","28,89","50,23","55,76","64,49","55,17","43,36","43,95","39,62"
turecki,wielkopolskie,"0,0","0,0","0,07","0,1","0,07","0,22","0,22","0,12","0,07","-0,02","0,1","0,07","0,12","0,05","0,1","0,73","9,29","16,2","4,75","5,13","8,22","3,16","1,82","2,77","2,6","0,7","1,0","1,77","3,63","3,43","3,07","9,27","12,33","36,56","31,26","57,73","66,22","33,25","22,48","17,98","20,58","15,5","11,31","11,18","10,68","11,24","10,7","11,48","10,92","9,56","10,41","12,82","17,05","33,13","58,14","67,87","48,14","55,54","37,26"
wadowicki,małopolskie,"0,0","0,0","0,37","0,19","0,21","0,14","0,33","0,01","0,0","0,0","0,0","0,0","0,01","0,51","0,81","0,24","0,15","0,33","2,58","4,97","2,75","1,42","1,59","1,33","2,96","4,16","2,88","2,07","3,72","7,3","9,31","20,03","30,48","56,58","80,16","71,77","43,05","23,46","16,06","14,13","11,11","9,59","9,62","9,89","7,91","7,91","8,16","9,94","10,78","12,28","21,02","31,07","41,17","58,3","72,73","76,52","53,2","48,21","34,05"
warszawski zachodni,mazowieckie,"0,0","0,0","0,0","0,0","2,03","2,44","1,03","0,51","0,63","0,14","0,34","0,43","0,45","0,74","0,36","0,41","0,57","0,57","0,81","0,58","0,5","0,72","1,03","1,2","1,01","1,57","1,05","1,96","2,67","2,53","4,63","16,4","27,96","37,01","46,27","54,89","69,55","61,27","37,39","33,29","32,23","28,44","26,96","29,19","26,5","20,35","19,06","21,25","19,75","24,16","38,44","54,28","69,6","103,44","113,59","113,87","78,58","66,28","37,38"
wałbrzyski,dolnośląskie,"0,0","0,0","0,07","0,19","0,11","0,15","1,1","0,7","1,8","0,84","0,44","0,11","0,48","0,44","0,19","0,55","0,15","0,11","0,04","0,0","0,0","0,0","0,29","1,36","1,36","0,73","0,33","0,7","0,81","1,65","3,74","5,76","7,41","15,93","26,68","47,01","51,08","40,99","25,51","33,32","30,24","26,24","16,85","13,44","10,2","9,43","8,48","9,62","11,23","15,63","18,79","32,15","57,14","69,14","77,98","97,84","93,14","60,81","36,63"
wałecki,zachodniopomorskie,"0,0","0,04","0,23","0,0","0,08","0,46","0,15","0,12","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,19","1,04","3,62","1,19","1,16","0,73","0,15","0,15","1,92","1,69","1,0","2,16","4,73","11,16","18,77","26,24","55,33","59,18","72,38","57,79","53,41","55,99","50,83","43,6","32,59","27,28","22,32","14,27","10,93","7,39","6,19","8,7","10,12","12,62","18,32","24,32","33,59","32,32","42,67","30,81"
wejherowski,pomorskie,"0,0","0,0","0,1","1,05","1,45","0,25","0,66","4,4","0,99","0,27","0,2","0,04","0,05","0,07","0,1","0,01","0,0","0,0","0,02","0,17","0,23","0,68","2,32","2,48","4,33","2,33","1,63","2,77","4,97","6,48","8,86","15,53","20,22","22,78","31,1","33,27","43,4","52,53","33,76","29,12","30,91","29,69","28,45","33,61","29,62","22,28","18,04","22,12","20,99","21,41","27,0","38,41","45,02","59,92","63,99","64,35","45,92","40,08","28,89"
wielicki,małopolskie,"0,0","0,17","0,9","3,04","3,0","1,93","2,29","0,99","0,47","0,36","0,0","0,05","0,11","0,49","0,27","-0,03","0,0","0,13","0,36","0,64","1,25","2,55","3,08","3,29","2,89","2,42","2,48","0,95","2,53","4,44","9,23","18,35","23,42","28,1","32,74","89,18","177,98","104,64","16,45","13,04","12,12","11,6","9,67","10,44","7,71","7,13","10,3","9,44","10,31","13,73","18,24","28,08","42,94","67,97","102,38","119,82","85,86","70,69","43,59"
wieluński,łódzkie,"0,0","0,0","0,0","0,0","0,0","0,0","0,48","3,93","5,51","3,13","2,41","4,23","4,42","3,21","5,25","3,78","3,32","3,0","4,66","3,37","10,57","11,03","15,02","13,43","7,52","4,15","1,77","2,78","4,23","6,74","13,22","23,77","44,99","63,13","63,86","48,39","33,43","22,77","21,06","16,81","19,97","15,47","10,84","8,49","9,69","9,13","4,82","4,23","2,97","3,26","2,54","4,92","9,87","16,51","29,76","43,17","45,5","57,65","46,65"
wieruszowski,łódzkie,"0,0","0,0","0,0","0,0","2,18","4,7","4,12","2,86","1,02","2,14","3,93","12,26","14,73","9,5","4,17","4,36","9,26","8,97","3,59","9,89","13,81","7,61","4,41","2,76","2,14","0,92","0,15","0,63","1,26","1,75","8,24","9,11","14,44","32,86","41,39","32,96","24,28","18,18","15,41","14,93","15,99","11,49","11,1","8,54","10,18","8,15","4,26","3,05","5,96","6,11","5,82","11,63","19,53","20,6","27,24","29,76","42,85","42,36","31,49"
wodzisławski,śląskie,"0,0","0,0","0,0","0,82","3,97","0,92","1,64","2,0","3,7","6,29","7,17","16,04","15,33","33,35","16,86","14,17","8,98","9,07","6,17","6,64","10,91","10,71","7,66","4,94","3,07","2,22","1,17","0,88","1,04","1,9","3,08","7,52","16,35","29,62","55,71","94,37","50,84","28,33","19,41","18,42","12,47","7,56","10,07","12,32","10,52","6,09","5,74","5,66","5,52","6,57","10,17","13,47","21,68","39,16","62,84","86,03","72,87","71,18","59,02"
wolsztyński,wielkopolskie,"0,0","0,0","0,11","0,25","0,14","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,21","0,04","0,0","0,0","0,0","0,0","0,0","0,11","0,32","0,07","0,07","0,54","1,06","0,96","4,09","17,73","8,03","15,77","27,6","34,81","35,14","48,7","56,95","48,35","42,49","26,82","22,88","18,22","19,04","12,51","12,02","13,71","9,84","12,68","11,4","7,89","8,1","10,77","11,44","18,33","36,27","42,38","55,85","45,33","43,38","38,99"
wołomiński,mazowieckie,"0,0","0,02","0,14","1,21","1,49","0,7","0,25","0,28","0,44","0,39","0,25","0,69","0,86","1,2","1,02","0,54","0,29","0,43","0,23","0,63","1,51","2,53","3,95","4,02","1,77","1,72","1,61","1,16","1,92","3,16","4,5","9,47","12,95","22,95","48,71","84,82","111,57","60,24","28,48","24,17","24,29","19,66","21,02","27,17","22,36","17,27","15,24","15,93","21,37","27,29","33,68","47,66","59,48","84,31","99,5","102,16","67,94","57,58","41,48"
wołowski,dolnośląskie,"0,0","0,0","0,79","3,97","1,88","3,31","3,05","1,88","1,79","1,79","2,4","2,4","1,0","0,18","0,0","0,0","0,04","0,27","0,0","0,0","0,48","2,23","0,35","0,0","1,22","1,05","0,39","0,52","0,18","1,44","1,09","5,1","16,83","34,65","75,15","106,62","92,89","58,06","34,74","20,44","19,88","22,49","17,83","24,62","18,96","13,47","8,32","4,58","10,16","13,21","9,68","12,03","12,55","20,62","33,48","55,18","59,81","63,56","53,46"
wrocławski,dolnośląskie,"0,09","0,05","1,04","1,48","1,05","0,7","0,73","1,47","1,75","0,78","0,47","0,63","0,38","0,3","0,22","0,46","0,16","0,21","0,28","0,34","0,59","0,74","0,85","0,61","1,11","0,89","1,99","1,04","0,84","1,55","5,51","8,68","8,45","18,51","112,65","146,01","64,41","46,72","34,11","25,59","25,02","18,12","15,31","15,71","18,36","17,07","16,19","13,37","14,82","21,74","28,4","37,6","57,29","81,57","101,78","116,49","91,84","81,98","52,05"
wrzesiński,wielkopolskie,"0,0","0,0","0,0","0,0","0,0","0,08","0,1","0,0","0,1","0,08","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,18","0,11","0,26","0,08","0,63","1,28","1,62","0,73","1,52","0,84","0,87","0,58","2,38","9,0","28,21","56,6","51,18","90,88","97,0","82,69","60,65","48,17","42,65","41,76","41,21","45,7","44,8","34,43","28,36","20,36","15,15","14,0","14,21","16,8","20,75","36,56","54,32","83,36","82,32","71,25","47,88"
wschowski,lubuskie,"0,0","0,21","0,58","1,42","0,05","0,32","0,05","0,32","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,74","16,77","5,26","0,53","1,47","1,42","0,05","1,68","3,0","0,58","0,0","0,0","0,05","1,58","5,89","11,98","18,87","36,95","29,75","52,4","32,43","19,34","18,29","14,24","11,04","8,78","8,34","7,73","5,1","4,73","4,57","4,89","4,1","4,68","7,73","16,29","39,15","64,22","63,17","52,08","55,5","34,8"
wysokomazowiecki,podlaskie,"0,0","0,0","0,0","0,21","1,36","3,77","2,95","0,9","0,11","0,0","0,0","0,36","0,14","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,11","0,5","1,26","1,4","0,61","2,51","1,69","4,92","7,03","8,76","13,1","17,12","24,91","38,33","41,06","40,74","22,72","18,31","17,91","14,89","11,95","10,66","10,26","11,38","7,39","7,0","8,61","8,29","7,82","8,29","9,33","10,88","14,93","21,5","22,29","22,36","27,56","17,28"
wyszkowski,mazowieckie,"0,0","0,0","0,25","0,63","0,69","0,55","0,49","0,19","0,27","0,0","0,25","0,91","0,19","0,33","1,92","1,29","0,6","1,35","0,47","0,0","0,0","0,55","0,88","0,3","0,63","0,71","0,71","0,66","0,93","1,9","5,99","9,98","22,24","34,2","53,76","64,86","48,64","23,9","18,18","13,09","14,02","11,16","13,06","12,16","10,12","9,29","12,21","16,94","14,0","18,09","28,6","37,98","50,9","60,74","51,03","43,28","36,68","32,36","23,37"
wąbrzeski,kujawsko-pomorskie,"0,0","0,0","0,0","0,24","1,25","1,07","0,36","0,0","0,0","0,0","0,3","0,12","0,0","0,0","0,0","0,0","0,0","0,0","0,12","0,3","0,0","0,72","2,03","0,84","0,18","0,3","0,3","1,79","0,96","1,49","5,85","12,53","23,57","41,42","66,79","52,34","43,51","52,52","41,9","42,26","39,81","38,97","27,75","45,47","56,46","34,92","28,47","30,5","46,02","25,31","29,18","50,91","50,14","50,67","52,34","39,99","29,3","31,57","20,14"
wągrowiecki,wielkopolskie,"0,0","0,0","0,0","0,0","0,55","0,06","0,0","0,96","1,92","0,17","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,0","0,06","0,41","0,81","1,02","1,16","0,0","0,26","1,4","3,54","7,0","12,38","31,59","69,39","81,74","51,2","36,32","36,26","20,34","20,78","16,68","14,24","12,81","14,03","10,69","11,13","9,76","6,95","10,0","17,75","22,69","32,51","51,29","66,66","78,86","60,21","45,47","23,64"
węgorzewski,warmińsko-mazurskie,"0,0","0,0","0,0","0,0","0,0","0,36","0,27","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,81","1,71","0,27","0,45","0,54","0,0","0,0","0,0","0,0","0,81","4,69","41,92","76,45","87,54","134,86","111,7","76,99","78,07","66,71","55,17","55,35","59,95","59,11","44,17","27,5","31,28","28,13","22,9","27,5","20,55","18,3","27,95","32,45","41,83","42,64","40,84","51,02","40,89"
węgrowski,mazowieckie,"0,0","0,0","0,0","0,0","3,75","2,17","0,34","0,43","0,46","0,09","0,22","0,87","0,59","0,62","0,56","0,5","0,03","0,06","2,05","1,15","0,0","0,0","0,59","2,48","2,6","1,24","0,68","0,71","1,55","2,91","6,2","9,05","14,76","39,56","46,6","56,09","31,56","25,15","22,14","17,77","17,86","12,18","13,24","14,87","9,15","7,54","9,77","10,08","7,16","9,21","9,74","8,93","12,59","20,99","30,1","55,5","56,37","51,19","38,72"
włocławski,kujawsko-pomorskie,"0,0","0,0","0,19","0,36","0,33","0,29","-0,1","-0,07","0,0","0,0","0,05","0,12","0,0","0,0","0,07","0,31","0,52","0,1","0,21","0,62","0,0","0,0","1,07","0,12","0,36","1,57","1,35","3,08","6,1","12,57","8,14","16,79","18,64","36,46","49,05","38,21","34,7","39,4","38,02","28,01","31,81","29,6","20,73","23,91","22,01","14,8","11,81","11,67","11,53","12,71","12,07","18,53","18,74","22,68","33,16","34,87","31,45","32,95","26,73"
włodawski,lubelskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,97","0,63","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,21","0,16","1,33","0,53","0,0","0,0","0,48","5,0","22,19","29,21","34,8","49,81","71,73","58,32","42,73","38,85","34,43","37,73","39,69","22,35","22,24","35,88","45,82","36,93","31,71","32,57","32,99","28,9","20,86","20,49","22,99","27,94","29,69","28,41","25,38","24,05","22,35"
włoszczowski,świętokrzyskie,"0,0","0,0","0,0","0,0","0,23","0,14","0,27","0,18","0,81","0,82","0,09","0,18","0,45","0,23","-0,23","0,0","0,32","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,23","0,09","0,0","0,82","4,48","5,34","4,98","14,95","27,45","15,4","51,77","21,11","97,74","14,09","10,78","8,42","6,11","5,98","8,98","8,11","6,66","5,71","9,65","8,33","5,03","4,53","7,65","12,14","26,68","55,12","70,66","65,67","68,93","47,05"
zambrowski,podlaskie,"0,0","0,0","0,05","0,42","1,46","3,43","2,68","0,57","0,28","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,22","0,09","0,14","0,66","0,28","2,44","9,05","15,67","21,86","25,05","44,05","40,48","30,82","21,16","20,12","16,37","20,64","27,39","22,98","16,7","22,0","14,78","10,18","10,09","12,62","9,81","12,43","20,55","26,6","35,74","41,37","47,71","38,33","26,6","22,61","17,01"
zamojski,lubelskie,"0,0","0,31","0,84","0,14","0,6","1,85","1,73","0,48","0,56","0,23","0,07","0,06","0,0","0,0","0,0","0,04","0,09","0,0","0,0","0,0","0,0","0,56","0,21","-0,17","0,29","0,32","0,56","0,69","1,73","2,4","3,21","9,15","20,92","39,31","72,46","45,86","47,96","39,0","18,5","13,46","12,33","9,86","7,75","8,24","7,08","6,5","7,71","7,04","8,63","8,5","10,66","13,89","18,06","25,94","30,02","41,46","39,87","41,08","26,81"
zawierciański,śląskie,"0,08","0,26","0,12","0,31","0,82","1,07","5,15","3,75","2,1","0,85","1,6","1,18","3,44","5,72","4,02","1,13","0,71","0,0","0,19","0,34","0,38","0,99","1,27","1,25","0,68","0,42","0,26","0,41","0,97","1,61","4,79","12,02","25,99","37,7","87,62","87,03","42,89","33,68","23,01","16,66","17,87","19,07","12,61","13,48","13,17","9,11","6,73","7,96","10,32","12,23","15,49","19,99","28,7","50,56","64,96","72,02","57,46","58,99","48,94"
zduńskowolski,łódzkie,"0,0","0,0","0,0","0,22","0,22","0,22","0,22","0,13","0,16","0,34","0,4","0,16","1,29","0,93","-0,62","0,25","1,11","0,56","1,26","0,31","0,52","3,41","2,52","1,57","1,63","1,02","0,25","0,4","0,22","0,71","2,55","10,05","20,32","40,95","47,59","58,57","50,85","42,98","27,52","24,78","24,17","14,45","11,99","16,9","22,17","10,82","9,25","8,58","6,83","8,02","12,3","17,03","20,47","33,7","56,97","81,69","63,98","62,56","46,66"
zgierski,łódzkie,"0,0","0,25","1,12","0,44","1,66","1,78","2,78","3,53","2,68","1,15","0,33","0,17","1,09","0,93","1,19","1,12","0,49","0,04","0,25","0,44","0,31","0,27","0,47","0,91","1,38","0,61","0,59","0,77","1,41","2,46","6,02","10,48","18,46","27,81","45,76","46,54","76,9","62,79","41,13","35,03","32,63","31,63","30,41","30,2","23,28","16,97","13,48","13,74","11,84","12,62","18,93","21,78","31,14","44,36","59,05","62,83","62,42","63,03","36,72"
